season,race_name,fullname,numero_quali,tiempo_ms,tiempo_TD,tiempo_min_ms,tiempo_min_TD,diff_ms_with_1st_in_quali,diff_TD_with_1st_in_quali
2021,French Grand Prix,Nicholas Latifi,1,93062.0,00:01:33.061,91001.0,0 days 00:01:31.001000,2061.0,00:00:02.060
2021,French Grand Prix,Kimi Räikkönen,1,93354.0,00:01:33.353,91001.0,0 days 00:01:31.001000,2353.0,00:00:02.352
2021,French Grand Prix,Nikita Mazepin,1,93554.0,00:01:33.554,91001.0,0 days 00:01:31.001000,2553.0,00:00:02.552
2021,French Grand Prix,Lance Stroll,1,,,91001.0,0 days 00:01:31.001000,,
2021,French Grand Prix,Yuki Tsunoda,1,,,91001.0,0 days 00:01:31.001000,,
2021,Styrian Grand Prix,Max Verstappen,1,64489.0,00:01:04.489,64489.0,0 days 00:01:04.489000,0.0,00:00:00.000
2021,Styrian Grand Prix,Valtteri Bottas,1,64537.0,00:01:04.537,64489.0,0 days 00:01:04.489000,48.0,00:00:00.048
2021,Styrian Grand Prix,Lewis Hamilton,1,64672.0,00:01:04.671,64489.0,0 days 00:01:04.489000,183.0,00:00:00.183
2021,Styrian Grand Prix,Lando Norris,1,64584.0,00:01:04.584,64489.0,0 days 00:01:04.489000,95.0,00:00:00.095
2021,Styrian Grand Prix,Sergio Pérez,1,64638.0,00:01:04.638,64489.0,0 days 00:01:04.489000,149.0,00:00:00.149
2021,Styrian Grand Prix,Pierre Gasly,1,64765.0,00:01:04.765,64489.0,0 days 00:01:04.489000,276.0,00:00:00.276
2021,Styrian Grand Prix,Charles Leclerc,1,64745.0,00:01:04.745,64489.0,0 days 00:01:04.489000,256.0,00:00:00.256
2021,Styrian Grand Prix,Yuki Tsunoda,1,64608.0,00:01:04.608,64489.0,0 days 00:01:04.489000,119.0,00:00:00.119
2021,Styrian Grand Prix,Fernando Alonso,1,64971.0,00:01:04.971,64489.0,0 days 00:01:04.489000,482.0,00:00:00.482
2021,Styrian Grand Prix,Lance Stroll,1,64821.0,00:01:04.820,64489.0,0 days 00:01:04.489000,332.0,00:00:00.332
2021,Styrian Grand Prix,George Russell,1,65033.0,00:01:05.033,64489.0,0 days 00:01:04.489000,544.0,00:00:00.544
2021,Styrian Grand Prix,Carlos Sainz,1,64859.0,00:01:04.858,64489.0,0 days 00:01:04.489000,370.0,00:00:00.370
2021,Styrian Grand Prix,Daniel Ricciardo,1,65142.0,00:01:05.141,64489.0,0 days 00:01:04.489000,653.0,00:00:00.653
2021,Styrian Grand Prix,Sebastian Vettel,1,65051.0,00:01:05.051,64489.0,0 days 00:01:04.489000,562.0,00:00:00.562
2021,Styrian Grand Prix,Antonio Giovinazzi,1,65092.0,00:01:05.091,64489.0,0 days 00:01:04.489000,603.0,00:00:00.603
2021,Styrian Grand Prix,Nicholas Latifi,1,65175.0,00:01:05.174,64489.0,0 days 00:01:04.489000,686.0,00:00:00.686
2021,Styrian Grand Prix,Esteban Ocon,1,65217.0,00:01:05.216,64489.0,0 days 00:01:04.489000,728.0,00:00:00.728
2021,Styrian Grand Prix,Kimi Räikkönen,1,65429.0,00:01:05.429,64489.0,0 days 00:01:04.489000,940.0,00:00:00.940
2021,Styrian Grand Prix,Mick Schumacher,1,66041.0,00:01:06.040,64489.0,0 days 00:01:04.489000,1552.0,00:00:01.552
2021,Styrian Grand Prix,Nikita Mazepin,1,66192.0,00:01:06.191,64489.0,0 days 00:01:04.489000,1703.0,00:00:01.702
2021,Austrian Grand Prix,Max Verstappen,1,64249.0,00:01:04.248,64249.0,0 days 00:01:04.249000,0.0,00:00:00.000
2021,Austrian Grand Prix,Lando Norris,1,64345.0,00:01:04.344,64249.0,0 days 00:01:04.249000,96.0,00:00:00.096
2021,Austrian Grand Prix,Sergio Pérez,1,64833.0,00:01:04.832,64249.0,0 days 00:01:04.249000,584.0,00:00:00.584
2021,Austrian Grand Prix,Lewis Hamilton,1,64506.0,00:01:04.506,64249.0,0 days 00:01:04.249000,257.0,00:00:00.257
2021,Austrian Grand Prix,Valtteri Bottas,1,64563.0,00:01:04.563,64249.0,0 days 00:01:04.249000,314.0,00:00:00.314
2021,Austrian Grand Prix,Pierre Gasly,1,64841.0,00:01:04.840,64249.0,0 days 00:01:04.249000,592.0,00:00:00.592
2021,Austrian Grand Prix,Yuki Tsunoda,1,64967.0,00:01:04.966,64249.0,0 days 00:01:04.249000,718.0,00:00:00.718
2021,Austrian Grand Prix,Sebastian Vettel,1,64846.0,00:01:04.846,64249.0,0 days 00:01:04.249000,597.0,00:00:00.597
2021,Austrian Grand Prix,George Russell,1,64907.0,00:01:04.906,64249.0,0 days 00:01:04.249000,658.0,00:00:00.658
2021,Austrian Grand Prix,Lance Stroll,1,64927.0,00:01:04.927,64249.0,0 days 00:01:04.249000,678.0,00:00:00.678
2021,Austrian Grand Prix,Carlos Sainz,1,64596.0,00:01:04.596,64249.0,0 days 00:01:04.249000,347.0,00:00:00.347
2021,Austrian Grand Prix,Charles Leclerc,1,64906.0,00:01:04.906,64249.0,0 days 00:01:04.249000,657.0,00:00:00.657
2021,Austrian Grand Prix,Daniel Ricciardo,1,64977.0,00:01:04.977,64249.0,0 days 00:01:04.249000,728.0,00:00:00.728
2021,Austrian Grand Prix,Fernando Alonso,1,64472.0,00:01:04.471,64249.0,0 days 00:01:04.249000,223.0,00:00:00.223
2021,Austrian Grand Prix,Antonio Giovinazzi,1,64782.0,00:01:04.781,64249.0,0 days 00:01:04.249000,533.0,00:00:00.533
2021,Austrian Grand Prix,Kimi Räikkönen,1,65009.0,00:01:05.009,64249.0,0 days 00:01:04.249000,760.0,00:00:00.760
2021,Austrian Grand Prix,Esteban Ocon,1,65051.0,00:01:05.051,64249.0,0 days 00:01:04.249000,802.0,00:00:00.802
2021,Austrian Grand Prix,Nicholas Latifi,1,65195.0,00:01:05.194,64249.0,0 days 00:01:04.249000,946.0,00:00:00.946
2021,Austrian Grand Prix,Mick Schumacher,1,65427.0,00:01:05.427,64249.0,0 days 00:01:04.249000,1178.0,00:00:01.177
2021,Austrian Grand Prix,Nikita Mazepin,1,65951.0,00:01:05.950,64249.0,0 days 00:01:04.249000,1702.0,00:00:01.702
2021,British Grand Prix,Lewis Hamilton,1,86786.0,00:01:26.786,86751.0,0 days 00:01:26.751000,35.0,00:00:00.035
2021,British Grand Prix,Max Verstappen,1,86751.0,00:01:26.751,86751.0,0 days 00:01:26.751000,0.0,00:00:00.000
2021,British Grand Prix,Valtteri Bottas,1,87487.0,00:01:27.486,86751.0,0 days 00:01:26.751000,736.0,00:00:00.736
2021,British Grand Prix,Charles Leclerc,1,87051.0,00:01:27.051,86751.0,0 days 00:01:26.751000,300.0,00:00:00.300
2021,British Grand Prix,Sergio Pérez,1,87121.0,00:01:27.120,86751.0,0 days 00:01:26.751000,370.0,00:00:00.370
2021,British Grand Prix,Lando Norris,1,87444.0,00:01:27.444,86751.0,0 days 00:01:26.751000,693.0,00:00:00.693
2021,British Grand Prix,Daniel Ricciardo,1,87323.0,00:01:27.322,86751.0,0 days 00:01:26.751000,572.0,00:00:00.572
2021,British Grand Prix,George Russell,1,87671.0,00:01:27.671,86751.0,0 days 00:01:26.751000,920.0,00:00:00.920
2021,British Grand Prix,Carlos Sainz,1,87337.0,00:01:27.337,86751.0,0 days 00:01:26.751000,586.0,00:00:00.586
2021,British Grand Prix,Sebastian Vettel,1,87493.0,00:01:27.492,86751.0,0 days 00:01:26.751000,742.0,00:00:00.742
2021,British Grand Prix,Fernando Alonso,1,87580.0,00:01:27.579,86751.0,0 days 00:01:26.751000,829.0,00:00:00.829
