season,race_name,fullname,numero_quali,tiempo_ms
2021,Bahrain Grand Prix,Yuki Tsunoda,3,0.0
2021,Belgian Grand Prix,Antonio Giovinazzi,1,122306.0
2021,Belgian Grand Prix,Antonio Giovinazzi,2,0.0
2021,Belgian Grand Prix,Antonio Giovinazzi,3,0.0
2021,Belgian Grand Prix,Carlos Sainz,1,121184.0
2021,Belgian Grand Prix,Carlos Sainz,2,118137.0
2021,Belgian Grand Prix,Carlos Sainz,3,0.0
2021,Belgian Grand Prix,Charles Leclerc,1,120728.0
2021,Belgian Grand Prix,Charles Leclerc,2,117721.0
2021,Belgian Grand Prix,Charles Leclerc,3,0.0
2021,Belgian Grand Prix,Daniel Ricciardo,1,121583.0
2021,Belgian Grand Prix,Daniel Ricciardo,2,117127.0
2021,Belgian Grand Prix,Daniel Ricciardo,3,120864.0
2021,Belgian Grand Prix,Esteban Ocon,1,121824.0
2021,Belgian Grand Prix,Esteban Ocon,2,117354.0
2021,Belgian Grand Prix,Esteban Ocon,3,123513.0
2021,Belgian Grand Prix,Fernando Alonso,1,121653.0
2021,Belgian Grand Prix,Fernando Alonso,2,118205.0
2021,Belgian Grand Prix,Fernando Alonso,3,0.0
2021,Belgian Grand Prix,George Russell,1,119864.0
2021,Belgian Grand Prix,George Russell,2,116950.0
2021,Belgian Grand Prix,George Russell,3,120086.0
2021,Belgian Grand Prix,Kimi Räikkönen,1,124452.0
2021,Belgian Grand Prix,Kimi Räikkönen,2,0.0
2021,Belgian Grand Prix,Kimi Räikkönen,3,0.0
2021,Belgian Grand Prix,Lance Stroll,1,121597.0
2021,Belgian Grand Prix,Lance Stroll,2,118231.0
2021,Belgian Grand Prix,Lance Stroll,3,0.0
2021,Belgian Grand Prix,Lando Norris,1,118301.0
2021,Belgian Grand Prix,Lando Norris,2,116025.0
2021,Belgian Grand Prix,Lando Norris,3,0.0
2021,Belgian Grand Prix,Lewis Hamilton,1,119218.0
2021,Belgian Grand Prix,Lewis Hamilton,2,116229.0
2021,Belgian Grand Prix,Lewis Hamilton,3,120099.0
2021,Belgian Grand Prix,Max Verstappen,1,118717.0
2021,Belgian Grand Prix,Max Verstappen,2,116559.0
2021,Belgian Grand Prix,Max Verstappen,3,119765.0
2021,Belgian Grand Prix,Mick Schumacher,1,123973.0
2021,Belgian Grand Prix,Mick Schumacher,2,0.0
2021,Belgian Grand Prix,Mick Schumacher,3,0.0
2021,Belgian Grand Prix,Nicholas Latifi,1,120966.0
2021,Belgian Grand Prix,Nicholas Latifi,2,118056.0
2021,Belgian Grand Prix,Nicholas Latifi,3,0.0
2021,Belgian Grand Prix,Nikita Mazepin,1,124939.0
2021,Belgian Grand Prix,Nikita Mazepin,2,0.0
2021,Belgian Grand Prix,Nikita Mazepin,3,0.0
2021,Belgian Grand Prix,Pierre Gasly,1,120387.0
2021,Belgian Grand Prix,Pierre Gasly,2,116440.0
